code,name,description,refreshed_at,from_date,to_date
1NOMY,1nomij (1NOMY),Stock Prices for 1nomij from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Amsterdam,2014-02-19 16:56:17,2014-02-14,2014-02-18
2778C,Essere Benessere (2778C),Stock Prices for Essere Benessere from the Euronext Stock Exchange. Currency: EUR. Market: ,2014-08-12 16:59:09,2014-08-11,2014-08-12
2CRSI,2CRSI (2CRSI),Stock Prices for 2CRSI from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2018-06-22,2020-04-23
3INL,3i Infrastructure (3INL),Stock Prices for 3i Infrastructure from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:31:28,2013-08-12,2013-08-12
5938C,Steam France (5938C),Stock Prices for Steam France from the Euronext Stock Exchange. Currency: EUR. Market: ,2014-08-12 17:10:02,2014-08-08,2014-08-11
6VR,VR EDUCATION HOLD. (6VR),Stock Prices for VR EDUCATION HOLD. from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Dublin,2020-04-23 21:03:23,2019-01-31,2020-04-17
888L,888 Holdings (888L),Stock Prices for 888 Holdings from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:32:31,2013-08-30,2013-08-30
8GW,GREAT WESTERN MIN. (8GW),Stock Prices for GREAT WESTERN MIN. from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Dublin,2020-04-23 21:03:14,2019-01-30,2020-04-17
A2AM,A2a (A2AM),Stock Prices for A2a from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:36:37,2013-04-22,2013-04-22
A5G,AIB GROUP PLC (A5G),Stock Prices for AIB GROUP PLC from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Dublin,2020-04-23 21:03:09,2019-02-01,2020-04-23
AAA,AP ALTERNAT ASSETS (AAA),Stock Prices for AP ALTERNAT ASSETS from the Euronext Stock Exchange. Currency: USD. Market: Euronext Amsterdam,2020-04-23 21:03:09,2014-02-14,2020-04-21
AALB,AALBERTS NV (AALB),Stock Prices for AALBERTS NV from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2020-04-23 21:03:09,2014-02-14,2020-04-23
AALL,Anglo American (AALL),Stock Prices for Anglo American from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:33:18,2012-10-17,2012-10-17
AB,AB SCIENCE (AB),Stock Prices for AB SCIENCE from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ABBNZ,Abb N (ABBNZ),Stock Prices for Abb N from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,2014-12-12 20:34:19,2013-08-29,2014-05-02
ABBV,Abbvie (ABBV),Stock Prices for Abbvie from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2017-08-31 15:58:23,2013-11-29,2017-08-29
ABCA,ABC ARBITRAGE (ABCA),Stock Prices for ABC ARBITRAGE from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ABCBS,Abcarbibsaa29jun18 (ABCBS),Stock Prices for Abcarbibsaa29jun18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Access Paris,2018-07-02 17:15:24,2017-05-05,2018-06-27
ABEDS,Abeo Ds (ABEDS),Stock Prices for Abeo Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2018-02-07 17:15:37,2018-01-29,2018-02-07
ABEE,Abertis Infraestr (ABEE),Stock Prices for Abertis Infraestr from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:29:48,2013-09-05,2013-09-05
ABEO,ABEO (ABEO),Stock Prices for ABEO from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2016-10-11,2020-04-23
ABFL,A B Foods (ABFL),Stock Prices for A B Foods from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:33:26,2013-11-26,2013-11-26
ABGE,Abengoa Cl A (ABGE),Stock Prices for Abengoa Cl A from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:31:27,2012-07-30,2012-07-30
ABGL,African Barrick Go (ABGL),Stock Prices for African Barrick Go from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:33:03,2013-08-19,2013-08-19
ABI,AB INBEV (ABI),Stock Prices for AB INBEV from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2020-04-23 21:03:09,2014-02-14,2020-04-23
ABIO,ALBIOMA (ABIO),Stock Prices for ALBIOMA from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ABIT,Ab Inbev (ABIT),Stock Prices for Ab Inbev from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2016-10-10 15:58:22,2016-10-10,2016-10-10
ABLX,Ablynx (ABLX),Stock Prices for Ablynx from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2018-06-12 17:17:04,2014-02-14,2018-06-12
ABN,ABN AMRO BANK N.V. (ABN),Stock Prices for ABN AMRO BANK N.V. from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2020-04-23 21:03:09,2015-11-20,2020-04-23
ABO,ABO GROUP (ABO),Stock Prices for ABO GROUP from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2020-04-23 21:03:09,2014-03-28,2020-04-21
ABOO,Abo Group (ABOO),Stock Prices for Abo Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2014-09-12 17:05:20,2014-09-11,2014-09-12
ABVX,ABIVAX (ABVX),Stock Prices for ABIVAX from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2015-06-26,2020-04-23
AC,ACCOR (AC),Stock Prices for ACCOR from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ACA,CREDIT AGRICOLE (ACA),Stock Prices for CREDIT AGRICOLE from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:12,2014-02-14,2020-04-23
ACAM5,Credit Agrico Jun5 (ACAM5),Stock Prices for Credit Agrico Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-05-17 16:00:33,2014-06-13,2014-06-13
ACAN,ACANTHE DEV. (ACAN),Stock Prices for ACANTHE DEV. from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ACAX5,Credit Agrico Nov5 (ACAX5),Stock Prices for Credit Agrico Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-10-18 15:58:27,2014-11-21,2014-11-21
ACCB,ACCENTIS (ACCB),Stock Prices for ACCENTIS from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2020-04-23 21:03:09,2014-02-14,2020-04-23
ACCEL,ACCELL GROUP (ACCEL),Stock Prices for ACCELL GROUP from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2020-04-23 21:03:09,2014-02-14,2020-04-23
ACEM,Acea (ACEM),Stock Prices for Acea from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:34:17,2012-03-30,2012-03-30
ACKB,ACKERMANS V.HAAREN (ACKB),Stock Prices for ACKERMANS V.HAAREN from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2020-04-23 21:03:09,2014-02-14,2020-04-23
ACM5,Accor Jun5 (ACM5),Stock Prices for Accor Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-05-17 15:59:54,2014-06-13,2014-06-13
ACNV,Accor Nv18 (ACNV),Stock Prices for Accor Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2018-05-10 17:15:35,2014-01-23,2018-05-07
ACOMO,AMSTERDAM COMMOD. (ACOMO),Stock Prices for AMSTERDAM COMMOD. from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2020-04-23 21:03:09,2014-02-14,2020-04-23
ACPH,ACACIA PHARMA (ACPH),Stock Prices for ACACIA PHARMA from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2020-04-23 21:03:09,2018-03-05,2020-04-23
ACSE,Acs (ACSE),Stock Prices for Acs from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:32:09,2012-04-27,2012-04-27
ACTDS,Actiplay(groupe)ds (ACTDS),Stock Prices for Actiplay(groupe)ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2018-11-29 17:15:30,2018-11-15,2018-11-29
ACX5,Accor Nov5 (ACX5),Stock Prices for Accor Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-10-18 15:58:23,2014-11-19,2014-11-19
ACXE,Acerinox (ACXE),Stock Prices for Acerinox from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:33:18,2011-04-18,2011-04-18
AD,AHOLD DEL (AD),Stock Prices for AHOLD DEL from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam   Other Markets: Brussels,2020-04-23 21:03:09,2016-07-25,2020-04-23
ADENZ,Adecco (ADENZ),Stock Prices for Adecco from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,2014-12-12 20:36:46,2014-02-17,2014-05-02
ADI,Audika Groupe (ADI),Stock Prices for Audika Groupe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2015-12-24 15:58:22,2014-02-14,2015-12-23
ADML,Admiral Group (ADML),Stock Prices for Admiral Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:36:47,2014-01-23,2014-04-28
ADNL,Aberdeen Asset Mgt (ADNL),Stock Prices for Aberdeen Asset Mgt from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:29:22,2013-08-30,2013-08-30
ADOBS,Adomos Bsa2014 (ADOBS),Stock Prices for Adomos Bsa2014 from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2014-10-11 17:05:52,2014-04-10,2014-10-10
ADOC,ADOCIA (ADOC),Stock Prices for ADOCIA from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ADP,ADP (ADP),Stock Prices for ADP from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ADPM5,Adp Jun5 (ADPM5),Stock Prices for Adp Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-05-17 15:59:55,2014-06-05,2014-06-05
ADPX5,Adp Nov5 (ADPX5),Stock Prices for Adp Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-10-18 15:58:23,2014-11-07,2014-11-07
ADSD,Adidas (ADSD),Stock Prices for Adidas from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:31:05,2013-08-20,2013-08-20
ADUDS,Adux Ds (ADUDS),Stock Prices for Adux Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2018-11-13 17:15:28,2018-11-02,2018-11-13
ADUX,ADUX (ADUX),Stock Prices for ADUX from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2017-03-24,2020-04-23
ADV,ADVENIS (ADV),Stock Prices for ADVENIS from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2015-07-31,2020-04-23
ADVDS,Advenis Ds (ADVDS),Stock Prices for Advenis Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2018-02-14 17:15:43,2018-02-02,2018-02-14
ADVI,ADVINI (ADVI),Stock Prices for ADVINI from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ADVIC,ADVICENNE (ADVIC),Stock Prices for ADVICENNE from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris   Other Markets: Brussels,2020-04-23 21:03:09,2017-12-06,2020-04-23
ADYEN,ADYEN (ADYEN),Stock Prices for ADYEN from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2020-04-23 21:03:09,2018-06-13,2020-04-23
AED,AEDIFICA (AED),Stock Prices for AEDIFICA from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2020-04-23 21:03:09,2014-02-14,2020-04-23
AED16,Aedifica(sub)c16 (AED16),Stock Prices for Aedifica(sub)c16 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2017-03-23 15:58:24,2017-03-16,2017-03-22
AED20,Aedifica(sub)c20 (AED20),Stock Prices for Aedifica(sub)c20 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2019-05-03 17:17:40,2019-04-25,2019-05-02
AF,AIR FRANCE -KLM (AF),Stock Prices for AIR FRANCE -KLM from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris   Other Markets: Amsterdam,2020-04-23 21:03:09,2014-02-14,2020-04-23
AFO,AFONE PARTICIP. (AFO),Stock Prices for AFONE PARTICIP. from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-01-09
AFRL,Afren (AFRL),Stock Prices for Afren from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:30:57,2013-08-23,2013-08-23
AFTNV,Saft Nv (AFTNV),Stock Prices for Saft Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2016-05-19 16:22:57,2016-05-13,2016-05-13
AGCR,Agricole Crau (AGCR),Stock Prices for Agricole Crau from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2016-03-03 15:58:25,2014-02-14,2016-03-02
AGFB,AGFA-GEVAERT (AGFB),Stock Prices for AGFA-GEVAERT from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2020-04-23 21:03:09,2014-02-14,2020-04-23
AGKL,Aggreko (AGKL),Stock Prices for Aggreko from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:32:34,2013-12-18,2013-12-18
AGLM,Autogrill (AGLM),Stock Prices for Autogrill from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:30:05,2013-04-16,2013-04-16
AGN,AEGON (AGN),Stock Prices for AEGON from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2020-04-23 21:03:09,2014-02-14,2020-04-23
AGRDS,Agrogeneration Ds (AGRDS),Stock Prices for Agrogeneration Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2015-03-22 15:58:34,2015-03-10,2015-03-20
AGRNV,Agrogenerationnv19 (AGRNV),Stock Prices for Agrogenerationnv19 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-06-27 17:15:39,2016-04-22,2019-06-27
AGS,AGEAS (AGS),Stock Prices for AGEAS from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,2020-04-23 21:03:09,2014-02-14,2020-04-23
AGTA,AGTA RECORD (AGTA),Stock Prices for AGTA RECORD from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
AH,Ahold Kon (AH),Stock Prices for Ahold Kon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2016-07-22 15:58:21,2014-02-14,2016-07-22
AHO,Ahold Kon (AHO),Stock Prices for Ahold Kon from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Amsterdam,2014-03-30 16:58:09,2014-03-26,2014-03-28
AHT,Ahold Kon (AHT),Stock Prices for Ahold Kon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2016-07-15 15:58:25,2016-07-15,2016-07-15
AHTL,Ashtead Group (AHTL),Stock Prices for Ashtead Group from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,2014-12-12 20:35:05,2013-08-21,2013-08-21
AI,AIR LIQUIDE (AI),Stock Prices for AIR LIQUIDE from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
AIBI,Allied Irish Banks (AIBI),Stock Prices for Allied Irish Banks from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,2014-12-12 20:33:17,2010-12-22,2010-12-22
AIDS,Air Liquide Ds (AIDS),Stock Prices for Air Liquide Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2016-09-28 15:58:28,2016-09-14,2016-09-28
AIM5,Air Liquide Jun5 (AIM5),Stock Prices for Air Liquide Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,2015-05-17 15:59:55,2014-05-29,2014-05-29
AIR,AIRBUS (AIR),Stock Prices for AIRBUS from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
AJAX,AJAX (AJAX),Stock Prices for AJAX from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2020-04-23 21:03:09,2014-02-14,2020-04-23
AKA,AKKA TECHNOLOGIES (AKA),Stock Prices for AKKA TECHNOLOGIES from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
AKE,ARKEMA (AKE),Stock Prices for ARKEMA from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
AKEDS,Arkema Ds (AKEDS),Stock Prices for Arkema Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2014-12-04 01:19:31,2014-11-20,2014-12-02
AKENV,Arkema Nv19 (AKENV),Stock Prices for Arkema Nv19 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2019-05-27 17:15:23,2014-02-13,2019-05-02
AKSOO,Aker Solutions (AKSOO),Stock Prices for Aker Solutions from the Euronext Stock Exchange. Currency: NOK. Market: Arca Europe,2014-12-12 20:35:05,2013-01-29,2013-01-29
AKW,AKWEL (AKW),Stock Prices for AKWEL from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,2020-04-23 21:03:09,2018-06-05,2020-04-23
AKZA,AKZO NOBEL (AKZA),Stock Prices for AKZO NOBEL from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2020-04-23 21:03:09,2014-02-14,2020-04-23
AKZAT,Akzo Nobel (AKZAT),Stock Prices for Akzo Nobel from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,2019-01-22 17:15:26,2019-01-21,2019-01-21
AL30T,Solutions 30 Se (AL30T),Stock Prices for Solutions 30 Se from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2016-07-22 15:58:28,2016-07-22,2016-07-22
ALA2M,A2micile Europe (ALA2M),Stock Prices for A2micile Europe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2018-04-20 17:15:44,2014-02-14,2018-04-20
ALABS,Adomos Bs (ALABS),Stock Prices for Adomos Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-04-15 17:17:59,2014-02-14,2019-04-11
ALACI,Acces Industrie (ALACI),Stock Prices for Acces Industrie from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2017-11-16 17:15:33,2014-02-13,2017-11-07
ALACR,Acropolis Telecom (ALACR),Stock Prices for Acropolis Telecom from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2016-05-03 15:58:25,2014-02-26,2016-04-28
ALACT,ACTIPLAY (GROUPE) (ALACT),Stock Prices for ACTIPLAY (GROUPE) from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2017-03-24,2020-04-23
ALADA,ADA (ALADA),Stock Prices for ADA from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ALADM,ADTHINK (ALADM),Stock Prices for ADTHINK from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ALADO,ADOMOS (ALADO),Stock Prices for ADOMOS from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ALADS,Anevia Ds (ALADS),Stock Prices for Anevia Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2015-07-19 15:58:20,2015-07-03,2015-07-17
ALADT,Adomos (ALADT),Stock Prices for Adomos from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,2017-05-09 15:58:17,2017-05-09,2017-05-09
ALAGR,AGROGENERATION (ALAGR),Stock Prices for AGROGENERATION from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ALALO,ACHETER-LOUER.FR (ALALO),Stock Prices for ACHETER-LOUER.FR from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ALAMG,AUPLATA MINING GR (ALAMG),Stock Prices for AUPLATA MINING GR from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2019-07-12,2020-04-23
ALANT,ANTEVENIO (ALANT),Stock Prices for ANTEVENIO from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ALANV,ANEVIA (ALANV),Stock Prices for ANEVIA from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2014-05-28,2020-04-23
ALAQU,AQUILA (ALAQU),Stock Prices for AQUILA from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2014-02-14,2020-04-23
ALARF,ADEUNIS (ALARF),Stock Prices for ADEUNIS from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2017-10-11,2020-04-23
ALAST,Astellia (ALAST),Stock Prices for Astellia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2018-03-07 17:15:42,2014-02-14,2018-02-23
ALATF,ARTEFACT (ALATF),Stock Prices for ARTEFACT from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2020-04-23 21:03:09,2018-02-01,2020-04-23
ALATP,Aroundtown (ALATP),Stock Prices for Aroundtown from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2017-09-13 15:58:18,2015-10-07,2017-09-13
ALAUP,Auplata (ALAUP),Stock Prices for Auplata from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,2019-07-05 17:15:36,2014-02-14,2019-07-05
